算盘,abacus
 新闻  ,news
 药物  ,Drugs
 相信  ,believe
 发生  ,happened
 反  ,anti
 去除  ,remove
 药物  ,Drug
 死亡  ,deaths
 地点  ,location
 推翻  ,overthrown
 东部  ,eastern
 人员  ,personnel
 十六  ,Sixteen
 死  ,died
 严重  ,seriously
 运输  ,transport
 装载  ,laden
 充分地  ,fully
 昨天  ,yesterday
 海军陆战队员  ,marines
 图片  ,PICTURES
 悲剧  ,tragedies
 底线  ,underscore
 配制  ,compounded
 成员  ,member
 货物  ,cargo
 重  ,heavy
 短期  ,shortly
 夜  ,night
 特攻队  ,commandos
 柜台  ,counter
 麻醉剂  ,narcotics
 小队  ,squad
 代理  ,agents
 战场  ,battlefield
 入侵者  ,raiders
 上  ,boarded
 战斗  ,fighting
 Snowe  ,Snowe
 递  ,handing
 包括  ,include
 公众舆论  ,consensus
 向前  ,forward
 需要  ,needed
 称赞  ,praised
 家伙  ,fellow
 票据  ,bill
 发怒  ,raging
 扩展  ,expands
 未保险  ,uninsured
 酒吧  ,bars
 存在  ,existing
 滴下  ,dropping
 报告  ,report
 或许  ,perhaps
 临近  ,nearing
 谈判  ,negotiating
 市场  ,market
 私有  ,private
 水槽  ,sink
 继续  ,Continued
 以色列  ,Israeli
 猛冲  ,stormed
 敏感  ,sensitive
 射击  ,fired
 手榴弹  ,grenades
 投掷  ,throwing
 青年  ,youths
 清真寺  ,mosque
 画了  ,drew
 征服  ,conquer
 要求  ,claim
 场面  ,scene
 时态  ,tense
 交叉路  ,crossroads
 知道  ,known
 少年  ,teenagers
 报复  ,retaliated
 护拦  ,barricades
 分散剂  ,disperse
 抗议者  ,protesters
 往  ,towards
 官员  ,officers
 采取  ,taken
 最圣洁  ,holiest
 回教  ,Islam
 斑点  ,spot
 登高  ,ascended
 忠实  ,faithful
 精美  ,delicate
 平衡  ,balancing
 虽然  ,though
 游人  ,tourists
 甲板排水孔  ,scuppers
 暴乱  ,riots
 碰撞  ,clashes
 崇拜者  ,worshippers
 走廊  ,corridor
 片刻  ,moment
 庄严  ,solemn
 中断  ,interrupted
 意味  ,meant
 无法  ,unable
 形成  ,formed
 祈祷  ,pray
 中间  ,midst
 巴勒斯坦  ,Palestinian
 前进  ,marched
 面对  ,confronted
 巡逻  ,patrol
 返回  ,returned
 指使  ,incite
 保护  ,protecting
 移居者  ,settlers
 穿戴  ,Dressed
 牛仔裤  ,jeans
 巴勒斯坦人  ,Palestinians
 包裹  ,wrapped
 官员  ,officer
 鞭打  ,whipped
 疯狂  ,frenzy
 发生  ,happening
 广播  ,broadcasting
 是  ,were
 害处  ,harm
 穆斯林  ,Muslims
 保卫  ,defend
 考古学  ,archaeological
 挖掘  ,excavations
 威胁  ,threaten
 以色列  ,Israel
 谎言  ,lies
 犹太教  ,Judaism
 尊敬  ,revered
 耶路撒冷  ,Jerusalem
 站点  ,site
 圣经  ,biblical
 寺庙  ,Temples
 宽容  ,tolerant
 寺庙  ,Temple
 找到  ,found
 增量  ,increase
 行李  ,baggage
 费  ,fees
 主页  ,homepage
 旅行  ,travel
 紧张  ,stressful
 英国  ,British
 空中航线  ,Airways
 战术  ,tactics
 威胁  ,threatens
 路线  ,routes
 检查  ,checked
 上升  ,raised
 举办  ,conducted
 民意测验  ,poll
 应答者  ,respondents
 额外  ,extra
 航空公司  ,airline
 检查  ,check
 售票  ,bookings
 租务  ,rentals
 largersmaller  ,largersmaller
 情势  ,situational
 争论  ,Arguing
 政策  ,policy
 失去  ,lost
 许多  ,Many
 别的  ,another
 大字书写  ,engrossed
 重  ,weighty
 后果  ,consequences
 解释  ,explained
 登陆  ,landed
 体会  ,realising
 地面  ,Ground
 联络  ,contact
 路线  ,route
 收音机  ,radio
 航空  ,Aviation
 通报  ,notified
 战斗机  ,fighter
 到达  ,arrived
 线  ,Lines
 拥有  ,owns
 暂停  ,suspended
 记录器  ,recorder
 是否  ,whether
 使用  ,played
 下落  ,fallen
 睡着  ,asleep
 地方  ,local
 运载  ,carries
 Holloway  ,Holloway
 错误地  ,amiss
 警察  ,police
 恐惧  ,horrified
 推测  ,supposed
 支付  ,paying
 首要  ,foremost
 首先  ,first
 难以相信  ,unbelievable
 宣称  ,declares
 本尼迪克特  ,Benedict
 教会  ,churches
 放弃  ,quits
 姿态  ,stance
 英国  ,England
 目标  ,target
 畅销书  ,Bestsellers
 铁路  ,Railway
 完全  ,Complete
 汇集  ,collection
 购物  ,shopping
 ecostore  ,ecostore
 监护人  ,guardian
 提议  ,offers
 曼彻斯特  ,Manchester
 监视人  ,Spotter
 问题  ,Question
 可能  ,possible
 书店  ,bookshop
 自由  ,free
 书  ,books
 回顾  ,Reviewing
 年  ,annum
 独特  ,Unique
 任何人  ,Anyone
 包裹  ,package
 假日  ,holiday
 权利  ,entitlement
 慷慨  ,generous
 水牛城  ,Buffalo
 房子  ,house
 滑雪  ,skiing
 死  ,dead
 通勤者  ,Commuter
 耕犁  ,ploughs
 郊区  ,suburban
 画廊  ,galleries
 执照  ,License
 有限  ,Limited
 少年  ,teenage
 打  ,beaten
 强奸  ,raped
 抢夺  ,robbed
 出席  ,attending
 舞蹈  ,dance
 旁观者  ,Onlookers
 一些  ,some
 攻击  ,attack
 帮会  ,gang
 离开  ,leaving
 边缘  ,edge
 校园  ,campus
 据报道  ,reportedly
 喝  ,drinking
 发言人  ,spokesperson
 引述  ,quoted
 强奸犯  ,rapists
 四  ,four
 spectactors  ,spectactors
 走  ,walked
 事态  ,matters
 记录  ,recorded
 采摘  ,picked
 怀疑  ,suspicion
 盗案  ,robbery
 攻击者  ,attackers
 suveillance  ,suveillance
 照相机  ,cameras
 管理员  ,Administrators
 结束  ,concluded
 稳定  ,stable
 繁忙  ,busy
 称  ,weighing
 重要性  ,importance
 通过  ,passing
 资助  ,funding
 资助  ,funding
 文章  ,articles
 听力  ,Hearings
 有  ,having
 非常  ,very
 星期  ,week
 明天  ,tomorrow
 网站  ,website
 特点  ,feature
 特点  ,feature
 内阁  ,cabinet
 可能  ,could
 相关  ,related
 口气  ,tone
 讲话  ,speaking
 能量  ,Energy
 植物  ,plants
 repost  ,repost
 项目  ,projects
 生物燃料  ,biofuel
 津贴  ,grants
 Huffington  ,Huffington
 精明  ,astutely
 概述  ,outlines
 必要  ,necessity
 揭穿  ,debunks
 破坏  ,ravages
 国家  ,nations
 全球性  ,global
 投资  ,investing
 成千上万  ,millions
 开发  ,developing
 出口  ,exporting
 污染  ,pollution
 任命  ,heard
 任命  ,appointment
 从未  ,never
 岗位  ,post
 名单  ,list
 研究  ,research
 拳击手  ,Boxer
 作者  ,author
 必需  ,must
 写道  ,wrote
 关于  ,about
 面孔  ,face
 费用  ,costs
 误解  ,misconceptions
 选择  ,choose
 哪些  ,which
 未经检查  ,unchecked
 做  ,make
 进展  ,progress
 灰浆  ,mortars
 请求  ,requested
 评论  ,COMMENT
 采伐  ,logged
 事假  ,leave
 再次  ,Again
 反对  ,opposes
 宣称  ,declared
 信件  ,Letter
 辞职  ,resigns
 项目  ,Items
 杀害  ,killed
 故事  ,Story
 发单  ,billed
 在之间  ,between
 积累  ,buildup
 主张  ,advocated
 反恐怖主义  ,counterterrorism
 反暴动  ,counterinsurgency
 情况  ,circumstances
 在  ,upon
 送  ,sending
 易察觉  ,sensible
 在期间  ,during
 做  ,made
 论据  ,argument
 通常  ,usual
 不同  ,differed
 最近  ,recent
 分析  ,analyses
 劝告  ,advised
 派遣  ,dispatching
 提供  ,provide
 农艺师  ,agronomists
 专家  ,experts
 带来  ,bringing
 成三倍  ,tripling
 地方  ,place
 当地  ,locally
 使用  ,employed
 工作  ,working
 领事馆  ,consulates
 提供  ,providing
 少校  ,major
 成功  ,success
 捕获  ,capture
 与  ,with
 领导  ,leader
 发射  ,launched
 清扫  ,sweeping
 保护  ,protected
 几小时  ,hours
 隐藏处  ,hideout
 强调  ,underscoring
 前哨基地  ,outposts
 战机  ,warplane
 村庄  ,village
 家  ,home
 沿  ,along
 一般  ,General
 是  ,being
 出生地  ,birthplace
 教父  ,godfather
 饰物  ,trimming
 混合  ,blend
 胡子  ,beards
 核实  ,verified
 通讯员  ,correspondents
 禁止  ,forbidden
 禁止  ,prohibited
 呼吁  ,appealed
 输入  ,entering
 边  ,sides
 说法  ,saying
 担心  ,worried
 命运  ,fate
 边  ,sides
 酿造  ,brewing
 人道主义  ,humanitarian
 推进  ,advancing
 指挥  ,directing
 浸入  ,plunged
 运载  ,carrying
 客人  ,guests
 攻击  ,assaults
 触发  ,triggering
 城市  ,cities
 城市  ,cities
 城市  ,cities
 锋利  ,sharp
 下落  ,drop
 股票交易市场  ,stockmarket
 从那以后  ,since
 大学  ,universities
 里程碑  ,milestone
 警告  ,cautioned
 期望  ,expects
 智囊团  ,thinktank
 更深  ,deeper
 北  ,northern
 忧虑  ,worries
 超越  ,overshot
 问题  ,issues
 位置  ,positions
 赌  ,staked
 小组  ,groups
 威力  ,might
 中间  ,middle
 疑义  ,doubt
 影响  ,clout
 选择  ,option
 桌  ,table
 分开  ,apart
 移动  ,inching
 往  ,toward
 计划  ,plans
 接受  ,accept
 形状  ,shape
 即刻地  ,swiftly
 党  ,party
 版本  ,version
 选择  ,opted
 选择  ,choice
 反对  ,oppose
 想法  ,idea
 学报  ,Journal
 谈论  ,Discuss
 独立  ,independents
 克服  ,overcome
 地板  ,floor
 预言  ,predicted
 一起  ,together
 更喜欢  ,prefer
 更加微弱  ,weaker
 版本  ,versions
 要求  ,require
 喜悦  ,pleased
 欢迎  ,welcomed
 深深地  ,deeply
 问题  ,matter
 礼服  ,dress
 继续  ,continue
 少付的工资  ,underpay
 医生  ,doctors
 改革  ,reforms
 路障  ,roadblock
 离间  ,divisive
 表决  ,votes
 重造  ,remake
 延伸  ,extend
 补贴  ,subsidies
 节目  ,program
 穷  ,poor
 第六  ,sixth
 总统的职务的  ,presidency's
 总统的职务的  ,presidency's
 总统的职务  ,presidency
 主要  ,largely
 似乎  ,seems
 反而  ,instead
 依靠  ,relying
 意向  ,intent
 失望  ,disappointed
 撑腰  ,fallback
 喉头  ,throats
 原因  ,reasons
 无党派  ,nonpartisan
 强烈  ,strongly
 非盈利  ,nonprofit
 选择  ,alternative
 指向  ,pointing
 提供者  ,providers
 果皮  ,peel
 设备  ,device
 表达  ,expressed
 怀疑  ,skepticism
 反对  ,opposed
 费用  ,expense
 抛弃  ,forgone
 包裹  ,packages
 更加富有  ,richer
 未来派  ,futuristic
 电  ,electric
 力量  ,power
 迅速  ,quickly
 宣布  ,announcing
 力量  ,power
 安装  ,installing
 自动化  ,automating
 公共事业  ,utility
 分站  ,substations
 数以万计  ,thousands
 数以万计  ,thousands
 白色  ,White
 最小  ,smallest
 细节  ,details
 光致电压  ,photovoltaic
 电  ,electricity
 可更新  ,renewable
 投资  ,investments
 过时  ,antiquated
 更加棕色  ,Browner
 现代化  ,modernization
 光滑  ,smooth
 介绍  ,introduction
 数额  ,amounts
 现代  ,modern
 获取  ,gained
 米  ,meters
 温箱  ,thermostats
 设备  ,devices
 房主  ,homeowners
 消耗  ,consume
 装置  ,appliances
 公共事业  ,utilities
 结果  ,result
 创造  ,create
 经济学家  ,economist
 安置者  ,installers
 工程师  ,engineers
 电  ,electrical
 除非  ,Unless
 Lieberman  ,Lieberman
 预备会议  ,caucuses
 包含  ,containing
 最后  ,final
 挑战  ,challenge
 倾斜  ,inclined
 程序  ,procedural
 行动  ,motion
 状态  ,states
 滴下  ,dropped
 块  ,block
 未定  ,undecided
 竞争  ,compete
 有一点  ,slightly
 原因  ,reason
 原则性  ,principled
 试图  ,attempting
 安全  ,secure
 承诺  ,commitments
 放弃  ,ditched
 变形  ,variant
 可能  ,likely
 下面  ,Under
 夫妇  ,couple
 问题  ,problems
 的确  ,Indeed
 不同  ,unlike
 决定  ,deciding
 支持  ,supporting
 居住  ,Living
 节目  ,programs
 协助  ,assisted
 护理  ,nursing
 订户  ,subscriber
 残疾  ,disabled
 乘客  ,passenger
 更加坚韧  ,tougher
 信号  ,signaling
 违犯  ,violated
 操作  ,operated
 入口  ,entrance
 丢失  ,missed
 预定  ,scheduling
 拉扯  ,pulled
 危及  ,endangered
 slipup  ,slipup
 班机  ,airliner
 事故  ,accidents
 事件  ,incidents
 结束  ,finish
 飞行  ,flying
 结果  ,results
 沉寂  ,quiet
 草皮  ,turf
 调控  ,regulating
 监督  ,overseeing
 强制执行  ,enforcing
 任命  ,appointed
 流逝  ,lapses
 灵活地  ,nimbly
 热切  ,eager
 正式  ,formal
 结论  ,conclusions
 起因  ,causes
 可能  ,probable
 摩擦  ,friction
 评论  ,commented
 挤  ,jostling
 反应  ,responding
 县  ,County
 轻轻地  ,gently
 应该  ,ought
 排行  ,lined
 征召  ,conscripted
 收缩  ,contracting
 体验  ,experiencing
 注射  ,injected
 有些  ,somewhat
 nilly  ,nilly
 围拢  ,surrounding
 威廉  ,willy
 自然  ,nature
 声明  ,declaration
 人口  ,population
 合理地  ,legitimately
 上百  ,hundreds
 组装  ,pack
 实际上  ,virtually
 荣誉  ,honor
 在旁边  ,aside
 优先权  ,priorities
 毫不含糊  ,unambiguous
 婴儿  ,infants
 易受影响  ,susceptible
 曲折前进  ,snaked
 走廊  ,hallways
 西南  ,southwest
 诊所  ,clinic
 任命  ,appointments
 射入  ,injection
 女儿  ,daughter
 文献  ,documentation
 气喘  ,asthmatic
 勘测  ,surveyed
 尊敬  ,respect
 他自己  ,himself
 轮椅  ,wheelchairs
 经销商  ,distributor
 分配  ,allocated
 总数  ,capita
 依据  ,basis
 抵抗  ,resist
 供应  ,supplies
 广泛  ,widely
 部门  ,departments
 施舍物  ,dole
 人口  ,populations
 可理解  ,understandable
 领土  ,Territorial
 主要  ,primarily
 分布  ,distributing
 沉重  ,heavily
 儿科医生  ,pediatrician
 囊状  ,cystic
 纤维变性  ,fibrosis
 允许  ,permitted
 疯狂  ,crazy
 obstetrician’s  ,obstetrician’s
 obstetrician’s  ,obstetrician’s
 产科医生  ,obstetrician
 小儿科  ,pediatric
 实践  ,practice
 下降趋势  ,downsides
 免疫  ,immunized
 展示  ,demonstrated
 短缺  ,shortage
 鞠躬  ,bowed
 给予优先  ,prioritize
 紧紧  ,tightly
 输入  ,entered
 外国人  ,foreigners
 火箭  ,rockets
 宾馆  ,guesthouse
 组织  ,organisations
 背心  ,vests
 出逃  ,flee
 街道  ,streets
 通常  ,regularly
 组织  ,organising
 厚待  ,favour
 带领  ,leading
 民意测验  ,polls
 政策  ,policies
 广泛地  ,broadly
 率  ,rates
 有趣  ,interesting
 统治  ,ruled
 成人  ,adult
 陷入沼泽  ,swamped
 患者  ,patients
 接受  ,receiving
 淹没  ,overwhelmed
 积极地  ,aggressively
 接种  ,vaccinating
 假设  ,assuming
 调遣  ,Fielding
 承认  ,conceded
 保存  ,conserve
 不愿意  ,unwilling
 缺乏  ,scarce
 忧虑  ,anxiety
 中心  ,Centers
 需要  ,needing
 增强  ,intensify
 掩护  ,screening
 适应  ,adapting
 辗压  ,rolling
 可及性  ,availability
 推荐  ,recommended
 政府  ,governments
 成人  ,adults
 慢性  ,chronic
 肺  ,lung
 跟踪  ,tracked
 县  ,counties
 筛选  ,screened
 更加严密  ,stricter
 指南  ,guidelines
 制造业  ,manufacturing
 继续  ,continuing
 等级  ,ranks
 制约  ,restrict
 健康  ,healthy
 合格  ,qualify
 奋斗  ,struggling
 波特兰  ,Portland
 围攻  ,mobbed
 寻找  ,seeking
 合格  ,qualified
 否认  ,denying
 菲尼斯  ,Phoenix
 浪花  ,spray
 患者  ,patient
 诚实  ,honest
 期望  ,expecting
 发货  ,shipment
 发货  ,shipments
 旅行  ,trip
 成交  ,deals
 签字  ,signed
 增加  ,increasing
 不幸  ,unfortunate
 做  ,commit
 目标  ,aims
 单独地  ,solely
 恐怖  ,terror
 干涉  ,Interference
 印度  ,India
 硬件  ,hardware
 事理  ,affairs
 三倍  ,triples
 费用额  ,outlay
 突出  ,prominent
 扰乱  ,scrambling
 省  ,Provinces
 改方向  ,redirecting
 制约  ,restricting
 访客  ,visitors
 调遣  ,redeploy
 父母  ,parents
 厌恶  ,sickened
 加拿大  ,Canada
 向往  ,aspiring
 恢复  ,recovered
 卫生间  ,bathroom
 悲剧  ,tragic
 钉头切断机  ,busters
 analyisis  ,analyisis
 相当  ,pretty
 某处  ,somewhere
 呕吐  ,vomiting
 疗程  ,medication
 恶化  ,deteriorated
 迅速地  ,rapidly
 稳定地  ,steadily
 出发  ,embarked
 供应商  ,supplier
 司法  ,jurisdictions
 加拿大人  ,Canadians
 道歉  ,apologized
 监护人  ,guardians
 法律  ,legal
 能走  ,ambulatory
 respirology  ,respirology
 内分泌学  ,endocrinology
 胃肠病学  ,gastroenterology
 承认  ,admitted
 brainer  ,brainer
 喷发  ,erupted
 读秒  ,countdown
 团结  ,United
 警告  ,warned
 攻不破  ,unwinnable
 胳膊  ,arms
 声音  ,sound
 目击者  ,eyewitness
 捉住  ,caught
 西方人  ,westerners
 阳台  ,balconies
 阳台  ,balcony
 邻居  ,neighbour
 第五  ,fifth
 第四  ,fourth
 登记  ,registered
 消防人员  ,Firefighters
 火焰  ,blaze
 圆  ,round
 投  ,pitched
 起爆  ,detonated
 炸药  ,explosives
 普遍  ,popular
 住宅  ,residential
 驱逐  ,ousted
 院长  ,Chiefs
 接近  ,approaching
 伴随  ,accompanied
 区域  ,region
 违犯  ,violate
 保卫  ,defended
 扩散  ,proliferation
 邻居  ,neighbouring
 来源  ,sources
 确定  ,determining
 美语  ,Americanism
 规定值  ,ratings
 归因于  ,attributed
 偏移   ,displaced
 阻拦  ,blocked
 图  ,figures
 施行  ,executions
 总结  ,Summary
 察视  ,scrutiny
 任意地  ,randomly
 无人驾驶  ,pilotless
 证实  ,confirm
 起草报告的人  ,Rapporteur
 法庭程序之外  ,Extrajudicial
 掠食性动物  ,Predators
 突出地  ,prominently
 联系  ,relation
 框架  ,framework
 遥远  ,remote
 受控  ,controlled
 西北  ,northwestern
 发生  ,resulted
 批评  ,criticism
 画  ,drawn
 愿  ,willing
 底部  ,bottom
 数字  ,numbers
 Plainfield  ,Plainfield
 Naperville  ,Naperville
 呼吸  ,breathing
 困难  ,difficulties
 小说  ,novel
 医师  ,physician
 咨询  ,consult
 flulike  ,flulike
 失水  ,dehydration
 困难  ,difficulty
 胸口  ,chest
 跟随  ,following
 底线  ,underscores
 实验性  ,experimental
 火箭  ,rocket
 防止  ,prevented
 炸开  ,blasting
 干涉  ,interfere
 改善  ,improved
 宇航员  ,astronauts
 厚待  ,favor
 投资  ,invested
 海洋  ,ocean
 季节性地  ,seasonally
 周转  ,turnaround
 地铁  ,metro
 衰落  ,decline
 回赎权的取消  ,foreclosures
 购屋者  ,homebuyers
 基于  ,bottomed
 激励  ,spurred
 地产商  ,Realtors
 卧室  ,bedroom
 交易  ,bargain
 护士  ,nurse
 渐近  ,edged
 延伸  ,extending
 买家  ,buyers
 支持者  ,Supporters
 意想不到地  ,unexpectedly
 荒凉  ,bleak
 到处  ,everywhere
 西雅图  ,Seattle
 夏洛特  ,Charlotte
 维加斯  ,Vegas
 锐化  ,peaking
 低谷  ,trough
 资金  ,funds
 震动  ,shake
 制作  ,crafted
 矛头  ,spearhead
 祝贺  ,congratulated
 溶化  ,dissolve
 井然  ,orderly
 吸收  ,absorbed
 债权人  ,creditors
 不同  ,differs
 发布  ,issued
 门限  ,threshold
 变宽  ,broadening
 企业  ,firms
 消化  ,digesting
 真实地  ,truly
 院长  ,chief
 互联  ,interconnected
 聚结  ,conglomerates
 Bernanke  ,Bernanke
 毁坏  ,destroy
 多功能  ,multifunction
 记下  ,takedowns
 经纪  ,broker
 禁止  ,prohibiting
 具体  ,specific
 Stearns  ,Stearns
 制约  ,restricts
 贷款  ,loans
 充塞  ,congested
 边界  ,border
 波浪  ,wave
 羽毛  ,plume
 滚滚向前  ,billowing
 幸存者  ,survivors
 爬行  ,scrambled
 亲戚  ,relatives
 毗邻  ,adjoining
 车道  ,lane
 五谷  ,grains
 杂货  ,groceries
 常去  ,frequented
 白沙瓦  ,Peshawar
 吞噬  ,engulfed
 导致  ,caused
 增强  ,reinforcements
 哭泣  ,crying
 穆罕默德  ,Muhammad
 Noor  ,Noor
 店主  ,shopkeeper
 攀登  ,climb
 殖民地  ,colonial
 捐赠  ,donation
 血液  ,blood
 管理者  ,superintendent
 挤满  ,thronged
 困难  ,difficult
 相符  ,coincided
 不安  ,unrest
 更新  ,renewed
 别墅  ,villa
 关上  ,slammed
 豪华  ,luxury
 坚定  ,determined
 美国  ,America
 播种  ,sowed
 拥挤  ,crowded
 装填  ,filling
 诱捕  ,trapping
 扭转  ,twisted
 射线  ,beams
 停放  ,parked
 衣裳  ,clothes
 踢  ,kicking
 云彩  ,cloud
 烟  ,smoke
 运送  ,ferried
 担架  ,stretchers
 承诺  ,pledging
 有时  ,sometimes
 联系  ,relations
 都市  ,urban
 堡垒  ,strongholds
 刺杀  ,assassinated
 服务  ,served
 mujahideen  ,mujahideen
 苏维埃  ,Soviet
 职业  ,occupation
 没人  ,nobody
 坚固性  ,rugged
 Islamist  ,Islamist
 勇敢  ,courageous
 肩膀  ,shoulder
 和平  ,peace
 主要  ,mostly
 家庭  ,household
 反抗  ,Defiant
 震动  ,shaken
 扣  ,buckle
 登上  ,MOUNTS
 夺取  ,captured
 镇压  ,crackdown
 边疆  ,borderlands
 通常  ,generally
 顾客  ,shoppers
 设陷井  ,trapped
 多  ,multi
 游击队员  ,guerilla
 公认  ,recognition
 拉紧  ,tightened
 岸  ,shore
 盖  ,covered
 翼  ,wing
 捐赠  ,donate
 病区  ,wards
 计数  ,count
 边境  ,Frontier
 领导  ,leaders
 赤字  ,shortfall
 缓和  ,tempered
 坦率地  ,frankly
 超过  ,outstripping
 显著地  ,unusually
 供应  ,supply
 聚焦  ,focused
 财富  ,wealth
 贡献  ,contribution
 做广告  ,advertising
 突出  ,highlighting
 老练  ,experienced
 时运  ,fortune
 剧院  ,Theatre
 Sidney  ,Sidney
 Harman  ,Harman
 地址  ,address
 蚊子  ,mosquitoes
 疟疾  ,malaria
 设想  ,conceived
 门面  ,facades
 纪念碑  ,monuments
 更加高价  ,pricier
 听不清  ,undistinguished
 富裕  ,wealthy
 明智  ,wise
 第九  ,ninth
 乐趣  ,pleasure
 打击  ,bashing
 少女  ,maiden
 远航  ,voyage
 存偏见  ,prejudiced
 臭名远扬地  ,notoriously
 黯淡  ,dimmed
 激情  ,passions
 谨慎的陈述  ,understatement
 面团  ,batters
 三振出局  ,strikeouts
 耕地  ,infield
 切削刀  ,cutter
 弧线球  ,curveball
 刺  ,lunging
 第八  ,eighth
 suckered  ,suckered
 样式  ,patterns
 材料  ,stuff
 仿制  ,imitation
 第七  ,seventh
 标记  ,tagged
 俘获器  ,catcher
 惊奇  ,surprised
 反射  ,reflex
 反应  ,reaction
 神气活现  ,cocky
 半决赛  ,semifinals
 投手  ,pitchers
 Utley  ,Utley
 篱芭  ,fence
 提及  ,mentioning
 作嘘声  ,booed
 庆祝  ,festivities
 德比  ,derby
 违反  ,transgression
 道歉  ,apologize
 几乎没有  ,barely
 压制  ,suppress
 咧嘴  ,grin
 更加安静  ,quieter
 哀悼  ,mourning
 蚀  ,eclipsing
 盖帽  ,caps
 升级  ,escalating
 血战  ,bloodshed
 武装  ,armed
 吹  ,blowing
 屠宰  ,slaughtering
 邻居  ,neighbours
 骚扰  ,infested
 传送带  ,belt
 计算  ,calculated
 牵强  ,forced
 本地出产  ,homegrown
 十三  ,Thirteen
 惊恐  ,appalling
 八  ,eight
 哀情  ,grief
 触击  ,stricken
 葬礼  ,funerals
 愤怒  ,anger
 登上  ,mounted
 认出  ,recognise
 啜泣  ,weeping
 不加区别地  ,indiscriminately
 动摇  ,destabilising
 威胁  ,threat
 强调  ,underscored
 升火  ,stoked
 要求  ,demands
 更加快速  ,swifter
 部署  ,deploying
 盟友  ,allies
 防卫  ,fend
 设计  ,designed
 渗入  ,infiltrating
 旅行  ,travelled
 文化  ,cultural
 魅力  ,charm
 外交  ,diplomacy
 强加  ,imposes
 违犯  ,violates
 母亲  ,maternal
 心急  ,impatience
 遗憾  ,regrettable
 误解  ,misunderstanding
 愤怒  ,furious
 后退  ,backlash
 要求  ,requires
 附加税  ,surtax
 揭幕  ,unveiled
 收入  ,incomes
 助手  ,aide
 覆盖物  ,covering
 包括  ,included
 劳方  ,labor
 联合会  ,unions
 收入  ,income
 制约  ,restrictions
 病  ,sick
 出席  ,attended
 阶段  ,phase
 惩罚  ,penalties
 工资单  ,payroll
 调查员  ,investigator
 否认  ,denied
 津巴布韦  ,Zimbabwe
 取消  ,canceled
 约翰内斯堡  ,Johannesburg
 非洲  ,Africa
 咨询  ,consultation
 非洲  ,African
 鼓掌  ,applauded
 合法  ,valid
 吵嘴  ,bickered
 侵害  ,violations
 饰面  ,facing
 拥有  ,possessing
 强盗行为  ,banditry
 发誓  ,swearing
 政治上  ,politically
 组织  ,organizing
 重新编排  ,rescheduled
 扰乱  ,harassed
 威逼  ,intimidated
 受损伤  ,Traumatized
 强迫  ,forcing
 破坏  ,ravaged
 毁损  ,marred
 舒适  ,ease
 破坏  ,undermining
 集中  ,concentration
 职员  ,staffers
 生存  ,survived
 扎锁木  ,lockdown
 运动  ,movements
 职员  ,staffer
 非本质  ,nonessential
 建议  ,suggesting
 先进  ,advanced
 评估  ,evaluated
 评断  ,judgments
 卡车  ,truck
 组织  ,organizations
 十五  ,Fifteen
 范围  ,scope
 恶化  ,Deteriorating
 生计  ,livelihoods
 五  ,five
 埃塞俄比亚  ,Ethiopia
 加纳  ,Ghana
 利比里亚  ,Liberia
 挫伤  ,bruises
 逃命  ,escape
 州长  ,governors
 制服  ,uniforms
 爆裂声  ,crackle
 害怕  ,Terrified
 飞跃  ,leapt
 避难所  ,refuge
 地下室  ,basement
 坑  ,pits
 恢复  ,restoring
 非难  ,riddled
 审计员  ,auditors
 第三  ,third
 选票  ,ballot
 连接  ,connection
 里士满  ,Richmond
 检察官  ,prosecutors
 未成年人  ,minors
 充电  ,charged
 强奸  ,rape
 行动  ,acted
 Cashman  ,Cashman
 Manuel  ,Manuel
 导致  ,causing
 身体  ,bodily
 伤害  ,injury
 音乐会  ,concert
 监狱  ,prison
 无情  ,callousness
 邪恶的品质  ,viciousness
 分裂  ,division
 探员  ,detectives
 期望  ,expect
 拘捕  ,arrests
 酒醉  ,drunken
 意欲  ,intending
 乘驾  ,ride
 分离  ,separates
 跳跃  ,hopped
 护航  ,escorted
 停车处  ,parking
 喝了  ,drank
 白兰地酒  ,brandy
 长凳  ,bench
 剥离  ,stripped
 首饰  ,jewelry
 女用披肩  ,stole
 性  ,sexual
 可能  ,possibly
 传球手  ,passers
 角落  ,corner
 核实  ,verifying
 女朋友  ,girlfriend
 毕业生  ,graduates
 采访  ,interviewing
 探员  ,Detective
 提供  ,offering
 发布  ,released
 共同  ,common
 对话  ,dialogue
 起源  ,origins
 会集  ,gathered
 下午  ,afternoon
 小组委员会  ,subcommittee
 主持  ,hosted
 观众席  ,auditorium
 放气  ,vented
 聚焦  ,focusing
 察觉  ,perceived
 提供  ,offered
 完成  ,finalize
 野人  ,savages
 动物  ,animals
 刻画  ,portrayed
 宣布  ,heralded
 开头  ,opening
 印第安语  ,Indian
 谷  ,valley
 重申  ,reiterated
 分离主义者  ,separatist
 放弃  ,renounced
 夏天  ,summer
 强硬派  ,hardliners
 接受  ,Receives
 判刑  ,sentenced
 法官  ,judge
 考虑  ,consider
 战斗员  ,combatant
 训练  ,training
 强加  ,imposed
 减少  ,reduce
 海军  ,Navy
 双桅船  ,brig
 查尔斯顿  ,Charleston
 隔离  ,isolation
 怀有  ,harbored
 欲望  ,desire
 提出  ,presented
 心理学家  ,psychologist
