汉字,词义
配偶者,配偶
拝啓,敬启者
背景,背景
拝見,看
背後,背后
灰皿,烟灰缸
廃止,废止
拝借,借
買収,收购
排出,排除
輩出,辈出
賠償,赔偿
排除,排除
敗色,败势
排斥,排斥
排泄,排泄
配線,配线
敗訴,败诉
配送,配送
配属,分配
配達,投递
配置,配置
配当,分配
拝読,拜读
背任,渎职
配布,分发
配分,分配
配役,分配角色
俳優,演员
配慮,照顾
入る,进入
配列，排列,排列
這う,爬
蠅,苍蝇
生え抜き,土生土长
映える，栄える,照
生える,生长
羽織,套在和服外的短外套
羽織る,披上
墓,墓
馬鹿,愚蠢的人
破壊,破坏
葉書,明信片
破格,破格
剥がす,剥下
博士,博士
捗る,顺利进展
果敢ない,虚幻无常的
鋼,钢铁
捗捗しい,迅速发展
馬鹿馬鹿しい,无聊
袴,裙裤
歯がゆい,焦急的
計らう,商量
秤,秤
計り知れない,无法估量的
謀,计谋
計る,计算
図る,计划
測る,测量
量る,测量
諮る,咨询
謀る,图谋
破棄,废弃
萩,胡枝子
吐気,恶心
はきはき,伶俐
波及,波及
破局,悲剧性的结果
歯切れ,牙咬东西的感觉
穿く，履く,穿鞋
佩く,佩戴
掃く,扫除
吐く,喷出
剥ぐ,剥
博愛,博爱
白衣,白色的衣服
迫害,迫害
博学,博学
育む,孵
博士,博士
白紙,白纸
白日,太阳
拍手,拍手
白書,白皮书
白状,坦白
薄情,薄情
博する,获得
莫大,莫大
爆弾,炸弹
博打,赌博
爆竹,爆竹
伯仲,伯仲
白鳥,白鸟
爆発,爆炸
幕府,幕府
博物館,博物馆
舶来,舶来
博覧,多人观览
薄利,薄利
迫力,动人的力量
歯車,齿轮
はけ口,排水口
激しい,猛烈
励ます,激励
励む,勤勉
捌ける,排水
剥げる,脱落
禿げる,脱落
化ける,化身为
覇権,霸权
派遣,派遣
箱,箱子
羽子板,毽球板
歯ごたえ,嚼头
運び,搬运
運ぶ,进展
挟まる,夹在
鋏，剪刀,剪刀
挟む,夹进
剪む,剪
破産,破产
橋,桥
端,头
箸,筷子
恥，辱，羞,丢脸
弾く,弹跳
梯子,梯子
はしたない,卑鄙
始まる,开始
始め，初め,最初
始める,开始
燥ぐ,喧闹
場所,场所
柱,支柱
恥らう,害羞
走る,跑
恥じる,羞耻
橋渡し,搭桥
斜,斜
蓮,莲
筈,理所当然
恥ずかしい,不好意思的
辱める,侮辱
外す,取下
蓮っ葉,轻浮
弾み,弹性
弾む,弹
外れる,脱落
派生,派生
馳せる,跑
破損,破损
旗,旗帜
傍，側,侧
旗色,形势
肌，膚,皮肤
裸,裸体
肌着,内衣
叩く,掸
畑,田地
旅籠,以前的旅馆
肌触り,触感
裸足,赤足
果たして,果然果真
果たす,实现
二十，二十歳,二十岁
働き,工作
働きかける,发动
働く,劳动
破綻,破绽
鉢,钵
蜂,蜜蜂
鉢合わせ,头碰头
はちきれる,满满的
破竹の勢い,破竹之势
鉢巻,缠头
波長,波长
初,最初
罰,惩罚
発案,提议
発育,发育
発音,发音
薄荷,薄荷
二十日,二十号
発覚,暴露
発揮,发挥
はっきり,清楚
罰金,罚款
発掘,挖掘
発見,发现
発言,发言
発現,表现
初恋,初恋
発酵,发酵
発行,发行
発散,发散
発射,发射
発車,发车
発祥,发源
抜粋,拔萃
発する,发生
発生,发生
発声,发声
発想,表达，表现
発送,发送
罰則,惩罚条例
発達,扩大
はったり,虚张声势
ばったり,突然倒下的样子
発着,出发和到达
発注,订货
抜擢,提拔
発展,发展
発電,发电
発動,发动
発売,出售
発病,发病
発表,发表
初舞台,初登舞台
発奮,发奋
八方,四面八方
抜本,彻底
初耳,初次听到
発明,发明
初詣で,新年后初次惨败
溌剌,活泼
果て,边际
派手,鲜艳
果てる,终
破天荒,破天荒
鳩,鸽
波止場,码头
歯止め,车闸
花,花
鼻,鼻子
鼻息,用鼻子呼气
花形,花纹
花盛り,花盛开
話,谈话
話し合い,商量
話し手,说话者
放す,放开
離す,分离
話す,说
鼻血,鼻血
放つ,派遣
鼻つまみ,讨厌
甚だ,非常
甚だしい,非常
華々しい,豪华
花火,焰火
花見,赏花
餞,饯别
花婿,新郎
華やか,引人注目
華やぐ,热闹起来
花嫁,新娘
離れる,有距离
放れる,脱开
離れ業,惊人的技艺
はにかむ,害臊
埴輪,土俑
羽，羽根,翼
発条,发条
羽根突き,板羽球
跳ね返る,跳回
撥ね付ける,拒绝
撥ね除ける,推开
跳ねる,跳
刎ねる,砍掉
撥ねる,淘汰
母,母亲
幅,宽度
祖母，婆,祖母
母方,母系
憚る,有势力
羽ばたく,振翅
幅広い,宽广
阻む,阻碍
蔓延る,蔓延
省く,精简
破片,碎片
浜,海滨
葉巻,雪茄烟
填まる，嵌まる,吻合
食み出す,露出
食む,吃
歯向かう，刃向かう,反抗
羽目，破目,板壁
破滅,灭亡
嵌める，填める,镶
場面,场面
刃物,刀剑
波紋,波纹
速い,快
早い,早
早起き,早起
早合点,贸然断定
早口,说话快
林,树林
囃子,伴奏
生やす,使生长
囃す,伴奏
早引け,早退
早まる,提前
速める,加快
早める,提前
流行,流行
流行る,流行
原,平原
腹,腹
薔薇,蔷薇
払う,拂
祓う,驱除
腹黒い,心眼儿坏
腹ごしらえ,先吃好饭
腹ごなし,助消化
腫らす,使……肿胀
晴らす,解除
ばらす,弄得七零八散
腹立たしい,令人气愤
ばらつく,稀稀拉拉地降下
はらはら,眼泪
ばらばら,连续降落声
孕む,怀孕
腸,肠
波瀾,波澜
針,缝衣针
鍼,针灸
張り,有力
梁,房梁
張り合う,竞争
張り切る,拉紧
張り子,纸糊的
張り出す,突出
春,春天
張る,拉
貼る,粘贴
遥か,远
春雨,春雨
遥遥,相隔很远
春めく,有春色
晴れ,晴
晴れ着,盛装
晴れ姿,身穿礼服
破裂,破裂
晴れ晴れ,晴朗
腫れ物,肿包
晴れやか,晴朗
腫れる,肿
晴れる,晴
破廉恥,厚颜无耻
半,半
反,反
範囲,范围
反映,反射
繁栄,繁荣
繁華,繁华
版画,版画
挽回,挽回
反感,反感
反逆,叛逆
反響,回声
半径,半径
判決,判决
版権,版权
判子,图章
反抗,反抗
反攻,反攻
犯行,犯罪行为
番号,号码
犯罪,犯罪行为
万歳,万岁
煩雑,烦杂
万事,万事
反射,反射
晩酌,晚酌
繁盛,繁荣
繁殖,繁殖
反する,反对
判ずる,判断
反省,反省
半生,半生
万全,完全
反訴,反诉
伴奏,伴奏
反則,犯规
反対,相反
判断,判断
番地,门牌号
範疇,范畴
番付,排名榜
判定,判定
半纏,一种不带翻领的日本短外衣
斑点,斑点
反騰,回升
反動,反作用
犯人,犯人
反応,反应
万能,全能
半端,不齐全
販売,贩卖
反発,回跳
頒布,颁布
半分,二分之一
判明,判明
反面,反面
半面,半面
反乱，叛乱,叛乱
氾濫,泛滥
凡例,凡例
販路,销路
反論,反驳
悲哀,悲哀
干上がる,干透
日当たり,向阳
贔屓,照顾
延いては,进而
秀でる,优秀
冷え込む,气温骤降
冷える,变冷
鼻炎,鼻炎
被害,被害
控えめ,节制
日帰り,当天回来
控える,等候
比較,比较
皮革,皮革
非核,非核
日陰,背阴的地方
日傘,太阳伞
東,东
僻む,乖僻
干からびる,干透
光,光
光る,发光
引かれる,被吸引
悲観,悲观
彼岸,涅磐之后的境界
悲願,大慈大悲的誓愿
悲喜,悲喜
引き上げる,打捞
率いる,率领
引き受ける,承担
引き返す,返回
引き換える,交换
蟾蜍,蟾蜍
引き込む,引进来
引きこもる,闷居家中
引き締まる,绷紧
引き締める,勒紧
引き摺る,拖
引出し,抽屉
引き出す,拉出
引き立つ,显眼
引き立てる,强行拉走
引き続き,继续
引き攣る,结伤疤
引き止める,留
引き取る,领取
挽肉,肉末
引き抜く,拔出
引き伸ばす,拉长
引き延ばす,延长
卑怯,懦弱
卑近,浅近
引く,拉
碾く,磨碎
轢く,碾
弾く,弹奏
低い,低
卑屈,卑躬屈膝
びくとも,一动不动
比丘尼,尼姑
びくびく,发抖
低める,降低
日暮れ,日暮
卑下,自卑
髭,胡须
悲劇,悲剧
否決,否决
秘訣,秘诀
引け目,自卑感
ひけらかす,炫耀
引ける,不好意思
退ける,下班
比肩,匹敌
非行,不良行为
備考,备考
尾行,尾随
被告,被告
日ごと,每天
日頃,平素
膝,膝盖
被災,受灾
微細,微细
日差し,阳光照射
久しい,好久
久し振り,好久
跪く,跪
氷雨,冷雨
悲惨,悲惨
菱,菱
肘,肘
肘鉄砲,用胳膊肘撞人
びしびし,严厉
犇く,拥挤
比重,比重
美術,美术
批准,批准
秘書,秘书
避暑,避暑
非常,非常
非情,无情
微笑,微笑
非常勤,定期出勤
非常識,没有常识
美食,美食
びしょ濡れ,湿透
びしょびしょ,连绵不断
美人,美人
翡翠,翡翠
歪み,斜
微生物,微生物
秘蔵,珍藏
密か,秘密
卑俗,粗俗
潜む,隐藏
潜める,隐藏
襞,褶
額,额
浸す,浸泡
只管,一味
肥立ち,康复
左,左
左団扇,安闲度日
浸る,浸
美談,美谈
美男子,美男子
筆,笔
悲痛,悲痛
引っかかる,挂住
引っ掛ける,挂上
筆記,记笔记
柩,棺
畢竟,毕竟
引っ切り無し,接连不断地
びっくり,吃惊
ひっくり返る,颠倒过来
引っ括める,汇总起来
火付け役,放活者
日付,年月日
跛,瘸子
引っ越す,搬家
引っ込む,引退
必死,拼命
羊,羊
筆者,作者
必修,必修
必勝,必胜
びっしょり,湿透
びっしり,挤得紧紧
必然,必然
ひっそり,寂静
ぴったり,紧紧地
匹敵,匹敌
逼迫,困窘
引っ張る,拉
蹄,蹄
必要,必要
否定,否定
日照，旱,太阳照射
秘伝,秘传
人,人
一,一
酷い,残酷
一息,一口气
人一倍,比别人加倍
一重,一重
偏に,完全
人影,人影
一方,一般
人柄,人品
一際,格外
秘匿,隐藏
美徳,美德
一口,一口
人気,人的声息
人恋しい,想与人交际的
一言,一句话
人事,旁人的事
人込み,人群拥挤
人差し指,食指
等しい,相等
一入,格外
一筋,一条
一つ,一个
一つ覚え,老记住一件事
人手,人工
人出,很多人聚集到一个地方
一通り,大概
一時,一会儿
人波,人潮
人並み,普通
一握り,少数
人々,人们
人真似,学人
瞳,瞳孔
人見知り,认生
一昔,往昔
人目,世人眼目
一目,看一眼
一役,一项任务
人好,大好人
一人，独り,一个人
日取り,日期
独り合点,自以为懂
独り言,自言自语
一人っ子,独生子
独りでに,自然而言
独り善がり,自命不凡
雛,雏鸡
日向,向阳
雛人形,偶人
鄙びる,土气
雛祭り,日本三月三日女孩节系列偶人的节日活动
非難,非难
避難,避难
皮肉,挖苦
皮肉る,挖苦
否認,否认
捻くる,玩弄
捻くれる,弯曲
終日,终日
捻る,扭转打败
檜,日本扁柏
日の出,日出
日の丸,红太阳形
被爆,被炸
火花,火星
雲雀,云雀
批判,评论
日日,每天
皹,龟裂
罅,裂纹
響き,回声
響く,发出回音
批評,评价
備品,设备
皮膚,皮肤
疲弊,疲惫
備忘,备忘
非凡,非凡
暇,时间
向日葵,向日葵
肥満,肥胖
秘密,秘密
微妙,微妙
姫,女子的美称
悲鳴,悲鸣
秘める,隐藏
罷免,罢免
紐,带
日持ち,耐存程度
紐解く，繙く,翻阅
干物,晒干的鱼
冷や,凉
冷やかす,挖苦
飛躍,跳跃
百,一百
百姓,百姓
白檀,白檀
百聞,反复听说
日焼け,晒黑
冷やす,凉一凉
百貨,百货
冷ややか,凉
比喩,比喻
費用,费用
美容,美容
病院,医院
表音,注音
評価,定价
表記,表面记载记载
病気,病
ひょうきん,轻佻
表敬,表示敬意
氷結,结冰
表決,表决
表現,表现
標高,海拔
氷山,冰山
拍子,拍
表紙,封面
表示,表达
標識,标志
描写,描写
病弱,病弱
標準,基准
表彰,表彰
表情,表情
病状,病状
表する,表示
評する,评论
氷雪,冰雪
剽窃,剽窃
飄然,突然
表層,表层
瓢箪,葫芦
評定,评定
氷点,冰点
平等,平等
病人,病人
漂泊,漂泊
漂白,漂白
評判,评价
屏風,屏风
病弊,弊病
豹変,突然改变
標榜,标榜
病没,病故
標本,标本
表明,表明
表面,表面
表裏,表里
漂流,漂流
評論,评论
肥沃,肥沃
日除け,遮日
雛,幼鸟，鸡雏
ひょっと,突然
日和,天气
日和見,天气预测
平,普通
平仮名,平假名
開き,差距
開き直る,突然改变态度
開く,开启
拓く,开拓
開ける,舒展
平たい,平的
ひらひら,飘扬
比目魚,比目鱼
閃かす,使闪闪发光
閃き,闪光
閃く,闪耀
ひらりと,轻巧地
比率,比率
ひりひり,辣得荒
微粒子,微粒子
肥料,肥料
微量,微量
微力,力量微薄
昼,白天
蛭,水蛭
比類,相比
翻す,翻过来
昼間,白天
怯む,畏怯
鰭,鳍
比例,比例
非礼,非礼
披瀝,吐露
卑劣,卑劣
平伏す,跪拜
広い,辽阔
拾う,拾
披露,公布
疲労,疲劳
広がる,扩大
広げる,打开
広場,广场
広広,辽阔
広間,客厅
広まる,传播
広める,扩大
秘話,秘史
枇杷,枇杷
琵琶,琵琶
卑猥,下流
日割り,按日计算
干割れる,干裂
品,物品
便,邮寄
品位,品格
品格,品格
敏活,敏捷
敏感,敏感
貧窮,贫困
貧血,贫血
品行,品行
貧困,贫困
品詞,品词
瀕死,濒死
品質,品质
貧弱,贫乏
品種,种类
顰蹙,皱眉
頻出,层出不穷
敏捷,敏捷
便乗,就便搭乘
瀕する,濒临
便箋,信纸
びんた,嘴巴
頻度,频度
頻発,屡次发生
頻繁,频繁
貧富,贫富
貧乏,贫困
品目,品种
ひんやり,凉嗖嗖的
歩合,比率
無愛想,冷淡
分厚い,非常厚
不安,不安
不安定,不安定
不意,突然
吹聴,吹嘘
風,分
風雨,风雨
風雲,风云
風化,淡薄
風格,风采
風変わり,与众不同
富貴,富贵
封切り,刚开封的东西
風景,风景
封鎖,封锁
風刺，諷刺,讽刺
風習,习惯
封ずる,封上
風船,气球
風速,风速
風俗,风俗
瘋癲,疯癫
風土,风土
封筒,信封
風評,传说
夫婦,夫妇
ふうふう,呼哧呼哧地
風物,景色
風来坊,来去无踪的人
風流,风流
不運,不幸
笛,笛子
不得手,不善长
増える，殖える,增加
敷衍,详述
無遠慮,不客气
不可,不可
付加，附加,附加
部下,部下
深い,深
不快,不愉快
不甲斐無い，不甲斐ない,没有志气
不覚,失策
不可欠,不可少的
更かす,熬夜
蒸かす,蒸
吹かす,喷烟
深深と,深深地
深まる,深起来
深み,深处
深める,加深
俯瞰,俯瞰
付記,附记
武器,武器
吹き替える,译制
不機嫌,不愉快
吹き込む,刮尽
吹き出す，噴き出す,冒出
不吉,不吉利
吹き付ける,风劲吹
吹き出物,肿疱
吹き飛ばす,刮跑
吹き回し,风向
不気味,令人不快的
不朽,不朽
普及,普及
不況,不景气
布教,传道
不器用,笨拙
付近,附近
布巾,擦碗布
服,衣服
福,福
副,副的
拭く,擦
吹く,刮
噴く,现出
葺く,修葺
河豚,河豚
不遇,境遇不佳
服役,服劳役
副業,副业
復元，復原,复原
複合,复合
複雑,复杂
副作用,副作用
副詞,副词
福祉,福利
複写,誊写
輻射,辐射
復習,复习
復讐,复仇
服従,服从
服飾,服饰
覆水盆に返らず,覆水难收
複数,复数
服する,服从
複製,复制
伏線,伏笔
服装,服装
不倶戴天,不共戴天
腹痛,腹痛
福引,抽签
福福しい,胖乎乎
含み,包含
含む,含有
服務,服务
含める,包含
服喪,服丧
服用,服药
膨よか,丰满
膨らむ,鼓起
福利,福利
膨れっ面,噘着嘴的脸
膨れる,肿
袋,口袋
梟,猫头鹰
雲脂，頭垢,头发
武家,武士
不敬,不敬
父兄,父兄
不景気,不景气
不潔,不干净
更ける,深
老ける,老
不孝,不孝
不幸,不幸
符号,符号
負号,负号
不公平,不公平
布告,布告
房,一束
夫妻,夫妻
負債,负债
不在,不在
不細工,拙笨
塞がる,塞满
塞ぎ,精神郁闷
不作,歉收
塞ぐ,挡
ふざける,欢闹
無沙汰,久疏问候
無作法,没礼貌
相応しい,适合
節,节
藤,紫藤
不治,不能医治
武士,武士
無事,健康
不思議,不可思议
不自然,不自然
ふしだら,放荡
部室,俱乐部活动用的房间
節節,各个关节
節回し,曲调
節目,节眼
伏目,低头
不自由,不自由
不十分,不充分
武術,武术
不純,不纯
不順,不顺
婦女,妇女
扶助,扶助
部署,部署
不肖,不肖
不詳,不详
不祥,不祥
負傷,负伤
不精,懒
武将,武将
不承不承,勉强答应
腐食，腐蝕,腐蚀
侮辱,侮辱
不信,不信任
不審,怀疑
不振,不振
普請,建筑
夫人,夫人
婦人,妇女
付随，附随,附带
不随,不遂
負数,负数
部数,部数
襖,隔扇
付する，附する,附加
布施,布施
不正,不正
風情,情趣
無勢,人少
布石,
防ぐ,防御
敷設,架设
不摂生,不注意健康
臥せる,躺
伏せる,翻
武装,武装
不相応,不相称
不足,不足
付則，附則,附则
付属，附属,附属
蓋,盖子
札,牌子
豚,猪
付帯，附帯,附带
舞台,舞台
部隊,部队
二重,双层
双子,双生子
再び,再次
二つ,二
二股,两叉
二人,两个人
負担,承担
不断,不断地
普段,平常
縁,边
淵,渊
ぶち壊す,弄坏
ぶちまける,倾倒一空
付着，附着,附着
不注意,不注意
不調,不成功
部長,部长
浮沈,盛衰
打つ,打
普通,普通
二日,二日
物価,物价
復活,复活
ぶつかる,撞
復旧,恢复原状
仏教,佛教
ぶっきらぼう,粗鲁
ぶつぎり,
吹っ切る,完全消除
ふっくら,柔软而丰满状
ぶつける,投
復興,复兴
物産,物产
物資,物资
仏事,佛事
物質,物质
払拭,消除
物騒,危险
仏像,佛像
物体,物体
仏頂面,绷着脸
不束,不周到
物的,物质的
沸点,沸点
ふっと,噗地
沸騰,沸腾
吹っ飛ぶ,刮跑
物品,物品
ぶつぶつ,抱怨
物欲,物欲
物理,物理
筆,毛笔
不出来,收成不好
不適当,不适当
不手際,不精巧
ふてくされる,怄气
ふてぶてしい,毫不客气
不図,突然
太い,粗
ふとう,不当
埠頭,码头
舞踏,舞蹈
葡萄,葡萄
不動産,不动产
懐,怀
不届き,不周到
太股,大腿
太る，肥る,胖
布団，蒲団,蒲团
鮒,鲫鱼
船出,扬帆
船便,海运
無難,平安无事
不如意,不如意
赴任,赴任
腑抜け,没出息
船，舟,船
腐敗,腐烂
不備,不周全
不評,名声不好
不憫,可怜
部品,零件
吹雪,暴风雪
不服,不满意
部分,部分
不平,不平
侮蔑,蔑视
普遍,普遍
不便,不便
不勉強,不用功
父母,父母
不法,违法
訃報,訃報
踏まえる,踏
不満,不满
踏み切り,脚踩出圈外
踏み切る,起跳
踏み込む,陷入
踏み台,脚登儿
踏み出す,迈出
踏みにじる,践踏
踏み外す,踩空
不眠,不睡
踏む,踏
不向き,不合适
不明,不明
不名誉,不体面
不滅,不灭
不面目,不体面
不毛,不毛
麓,山麓
部門,部门
増やす，殖やす,增加
冬,冬
浮遊,浮游
不愉快,不愉快
不行き届き,不周到
冬物,冬装
付与，附よ,授予
扶養,扶养
不用，不要,不用
舞踊,舞蹈
不養生,不注意健康
不用心，無用心,不警惕
ぶよぶよ,柔软
無頼,无赖
部落,部落
ぶら下がる,悬
ぶら下げる,悬挂
不埒,蛮不讲理
ふらつく,不稳
ぶらつく,摇晃
ふらふら,摇晃
ぶらぶら,晃荡
ふらり,突然
振り,样子
不利,不利
振り当てる,分配
振り替え,调换
振り替える,调换
振り返る,回头看
振り仮名,注在汉字旁边表示该字读法的日文假名
振り切る,甩开
振り込む,存款
降りしきる,一个劲地下
振袖,长袖和服
振りまく,撒
振り向く,回头看
振り向ける,转向后边
不慮,以外
俘虜,俘虏
不漁,捕鱼量少
不猟,捕获物少
不良,不好
浮力,浮力
不倫,男女不正当关系
降る,下
振る,挥
古い,旧
篩,筛子
部類,种类
振う，揮う,挥动
奮う,鼓起
震う,震动
篩う,筛
震える,震动
古臭い,陈旧
古里，故郷，故里,故乡
ぶるぶる,哆嗦
古ぼける,褪色
古本,旧书
振る舞い,动作
振舞う,行动
古めかしい,古老
触れ合う,互相挨着
無礼,失礼
触れる,碰
振れる,摇摆
風呂,浴室
不老,不老
浮浪,流浪
付録,附录
風呂敷,包袱皮
不和,不和
不惑,不惑之年
ふわふわ,暄腾腾
付和雷同，附和雷同,随声附和
ふわりと,轻轻地
文,文章
雰囲気,气氛
噴火,喷火
文化,文化
文科,文科
憤慨,愤慨
分解,分解
文学,文艺
分割,分割
分岐,分叉
紛糾,纠纷
踏ん切り,决断
文型,句型
文芸,文艺
文献,文献
文庫,书库
文語,文章用语
粉砕,粉碎
分際,身份
分散,分散
分子,分子
紛失,丢失
噴出,喷出
文書,文书
文章,文章
文人,文人
噴水,喷水
扮する,装扮
分析,分析
扮装,化妆
紛争,纷争
分相応,合乎身份的
ふんだくる,抢夺
ふんだん,很多
分担,分担
文壇,文坛
文通,通信
憤怒,愤怒
奮闘,奋战
褌,兜裆布
糞尿,大小便
分配,分配
奮発,发奋
踏ん張る,叉开双脚使劲站住
分泌,分泌
分布,分布
分別,通情达理
分別,分类
文法,文法
文房具,文具
粉末,粉末
憤懣,愤懣
文脈,文章的脉络
文明,文明
分野,领域
文楽,木偶的净琉璃戏
分離,分离
分立,分立
分量,分量
分類,分类
分裂,分裂
ふんわり,轻柔
塀,围墙
兵,军队
平安,平安
平易,容易
平穏,平稳
陛下,陛下
閉会,闭会
弊害,弊病
閉館,闭馆
併記,并记
兵器,兵器
平気,沉着
閉業,关店
平均,平均
平原,平原
平行,平行
平衡,平衡
並行,并行
閉口,受不了
併合,合并
平行線,平行线
閉鎖,封闭
平日,平常
平常,平常
平静,平静
平生,平素
併設,同时设置
平然,坦然
平素,平素
平俗,平庸
併存，並存,并存
兵隊,军队
平坦,平坦
平淡,平淡
平地,平地
弊店,敝店
閉店,关门
平年,平年
併発,并发
平板,平的板
平服,便服
平方,平方
平凡,平凡
閉幕,闭幕
平民,平民
平明,简明
平面,平面
平野,平原
併用,并用
並立,并立
並列,并列
平和,和睦
辟易,畏缩
壁画,壁画
碧眼,蓝眼珠
僻村,偏僻的村庄
僻地,僻壤
霹靂,霹雳
へこたれる,气馁
ぺこぺこ,点头哈腰
凹む,凹下
臍,肚脐
べそ,要哭的面孔
臍繰り,私房钱
下手,拙劣
べた,全部
下手糞,拙劣
隔たり,间隔
べたつく,发粘
隔てる,相隔
へたばる　,累垮
へたへた,累得支撑不住
べたべた,粘糊糊地
へたり込む,累得一屁股坐下
べたりと,粘上
糸瓜,丝瓜
別,区别
別居,分开住
蔑視,蔑视
別条，別状,异常
別人,别人
別世界,另一个世界
別荘,别墅
べったり,粘住
別段,特别
別途,另一种办法
別に,特别
別嬪,美人
別々,各自
諂う,阿谀奉承
別離,离别
反吐,呕吐
へなへな,柔软的，易弯的
紅,红色颜料
へばりつく,依附
へばる,疲惫不堪
蛇,蛇
へべれけ,大醉
へぼ,结得不好
へま,蠢笨
部屋,房间
減らす,减少
減らず口,嘴硬
へらへら,傻笑
ぺらぺら,说得流利
箆棒,混蛋
縁,边沿
謙る，遜る,谦恭
屁理屈,歪理
経る,时间经过
減る,减少
ぺろり,伸舌
変,将半音符号
便,方便
変化,变化
弁解,辩解
変革,变革
勉学,勤学
変換,变换
返還,归还
便宜,方便
返却,归还
偏狭,狭窄
辺境,边境
勉強,学习
返金,还钱
偏屈,乖僻
弁慶,镰仓时期的僧侣的名字
偏見,偏见
弁護,辩护
変更,变更
弁護士,辩护律师
偏差,偏差
返済,还债
弁済,偿还
編纂,编纂
変死,横死
変事,变故
返事,回复
偏執,固执
変質,变质
編者,编者
変種,变种
編集,编辑
便所,厕所
返上,奉还
弁償,赔偿
偏食,偏食
変身,变化
返信,回信
偏する,偏向
弁ずる,结束
弁ずる,说明
編制,编制
編成,组织
弁舌,口才
変遷,变迁
変装,乔装
返送,寄回
変則,不正规
変態,变态
鞭撻,鞭策
辺地,偏僻地方
編著,编著
偏重,偏重
変梃,奇特
変哲,出奇
返答,回答
変動,变动
弁当,盒饭
編入,编入
辺鄙,偏僻
便秘,便秘
弁別,辨别
便便,便便
弁明,辩解
便覧,便览
便利,方便
返礼,答礼
遍歴,周游
弁論,辩论
保安,保安
ぽい,有点儿
保育,保育
哺育,哺育
母音,元音
法,法
暴,暴
某,某
棒暗記,死记硬背
包囲,包围
方位,方位
法会,经典
放映,放映
防衛,防卫
貿易,贸易
望遠鏡,望远镜
鳳凰,凤凰
報恩,报恩
防音,隔音
放課,放学
放火,放火
砲火,炮火
邦画,日本画
崩壊,崩溃
法外,过分
妨害,妨碍
方角,方位
邦楽,日本音乐
包括,包括
砲丸,炮弹
包含,包含
放棄,放弃
法規,法律
蜂起,起义
帚,扫帚
忘却,忘却
防御,防御
砲撃,炮击
封建,封建
方言,方言
冒険,冒险
奉公,效劳
方向,方向
芳香,芳香
暴行,暴行
報告,报告
防災,防灾
豊作,丰收
忙殺,忙得不可开交
謀殺,谋杀
坊さん,和尚
奉仕,服务
放恣,放荡
法事,法事
帽子,帽子
防止,防止
方式,方式
放射,放射
傍若無人,旁若无人
報酬,报酬
放出,喷出
報償,赔偿
褒賞,褒奖
放生,放生
方丈,和尚的居室
豊饒,丰饶
飽食,饱食
紡織,纺织
報じる,报
奉じる,奉上
焙じる,烘
放心,精神恍惚
方針,方针
法人,法人
邦人,本国人
坊主,和尚
宝石,宝石
紡績,纺纱
傍線,旁线
呆然,茫然
包装,包装
放送,广播
暴走,狂奔
法則,法规
包帯,绷带
放題,接在词后，表示自由地
膨大,庞大
砲弾,炮弹
報知,报告
放置,放置
放逐,放逐
包丁,菜刀
傍聴,旁听
膨張,膨胀
放っておく,放置
法廷,法庭
報道,报道
暴騰,暴涨
冒頭,文章等的开头
放任,放任
豊年,丰年
奉納,奉献
防波堤,防波堤
褒美,奖品
抱負,抱负
豊富,丰富
暴風,暴风
報復,报复
彷彿,相似
方法,方法
方々,各处
茫茫,茫茫
放牧,放牧
泡沫,泡沫
葬る,埋葬
亡命,流亡
方面,方面
訪問,访问
坊や,男孩
包容,包容
抱擁,拥抱
法要,法事
棒読み,照本宣科
暴落,暴跌
放埓,放荡
放り出す,扔出
法律,法律
暴力,暴力
放る，抛る,扔给
菠蔆草,菠菜
放浪,流浪
琺瑯,搪瓷
飽和,饱和
吠える，吼える,吠
頬,脸颊
頬被り,包住头和脸
保温,保温
外，他,其他地方或方位
捕獲,捕获
火影,灯光
暈す,使颜色浓淡的界线不清
ぽかぽか,暖和的
朗らか,晴朗
保管,保管
ぽかんと,啪地一声
簿記,记帐
補給,补给
補強,增强
募金,募捐
僕,我
牧師,牧师
北上,北上
牧場,牧场
解す,解开
北西,西北
牧畜,畜牧
撲滅,消灭
解れる,解开
黒子,黑痣
惚け，呆け,变傻
補欠，補缺,补缺
墓穴,坟墓
惚ける,脑子
惚ける，暈ける,模糊
保健,保健
保険,保险
矛,矛
反古，反故,废纸
保護,保护
歩行,步行
母校,母校
母国,祖国
矛先,矛头
誇らしい,自豪的
誇り,自豪
埃,尘埃
誇る,自豪
綻びる,绽线
補佐,辅佐
菩薩,菩萨
星,星星
保持,保持
母子,母子
欲しい,希望得到
星影,星光
ほじくる,抠
保釈,保释
保守,保养
補修,修补
補習,补习
補充,补充
募集,招收
補助,补助
保証,保证
保障,保障
補償,赔偿
干す，乾す,晒
補正,补正
保全,保全
臍,肚脐
細い,细
舗装,铺路
補足,补充
ぼそぼそ,叽叽咕咕
細目,眼睛眯缝着
細める,使细
保存,保存
菩提,菩提
絆される,束缚
牡丹餅,年糕团
蛍,萤火虫
牡丹,牡丹
墓地,坟地
歩調,步伐
補聴器,助听器
発起,提出
北極,北极
没後,死后
発作,发作
没収,没收
発心,信佛
欲する,希望
没する,沉没
勃然,勃然而起
発足,开始活动
ほっそり,苗条
ほったらかす,弃置不顾
発端,发端
坊ちゃん,你儿子
没頭,埋头
頬っぺた,脸颊
北方,北方
ぽつぽつ,小窟窿
